

New Run
Time: 0  p: -0.06248219540730602  x: 0.9882224126601156
Time: 2.2619467105846525  p: -0.5007729199489432  x: -0.48121816783047894
Time: 2.3247785636564484  p: -0.46480745555086583  x: -0.5068399702682533
Time: 2.3876104167282444  p: -0.42766467108435186  x: -0.5299128085155764
Time: 2.4504422698000403  p: -0.3895176974179684  x: -0.5503931416782545
Time: 2.5132741228718363  p: -0.3505403468870158  x: -0.5682487592655389
Time: 2.576105975943632  p: -0.310906397319012  x: -0.5834586903248473
Time: 2.638937829015428  p: -0.2707888901690905  x: -0.5960130689109998
Time: 2.701769682087224  p: -0.23035944532744845  x: -0.6059129572858606
Time: 2.76460153515902  p: -0.18978759504358328  x: -0.613170128387927
Time: 2.827433388230816  p: -0.14924013928707347  x: -0.6178068092460258
Time: 2.890265241302612  p: -0.10888052473272902  x: -0.6198553871365039
Time: 2.953097094374408  p: -0.0688682494197425  x: -0.6193580803988062
Time: 3.015928947446204  p: -0.029358294990684368  x: -0.6163665759298496
Time: 3.078760800518  p: 0.009499411732499491  x: -0.6109416354728835
Time: 3.141592653589796  p: 0.04756050623121828  x: -0.6031526729014053
Time: 3.2044245066615917  p: 0.08468666138381553  x: -0.5930773047730148
Time: 3.2672563597333877  p: 0.12074602888131031  x: -0.5808008764917714
Time: 3.3300882128051836  p: 0.15561364583790993  x: -0.5664159664705898
Time: 3.3929200658769796  p: 0.1891718056316096  x: -0.5500218707274898
Time: 3.4557519189487755  p: 0.2213103921736267  x: -0.531724070381123
Time: 3.5185837720205715  p: 0.2519271769688992  x: -0.5116336845320304
Time: 3.5814156250923674  p: 0.28092807849274776  x: -0.4898669110266458
Time: 3.6442474781641634  p: 0.3082273835704138  x: -0.46654445760132723
Time: 3.7070793312359593  p: 0.3337479306059109  x: -0.4417909658938593
Time: 3.7699111843077553  p: 0.35742125466385666  x: -0.4157344307901699
Time: 3.8327430373795512  p: 0.37918769456209855  x: -0.38850561754470997
Time: 3.895574890451347  p: 0.39899646228344865  x: -0.3602374790743665
Time: 3.958406743523143  p: 0.4168056751611603  x: -0.3310645757782501
Time: 4.021238596594939  p: 0.4325823514344037  x: -0.30112250017958625
Time: 4.084070449666735  p: 0.4463023699064499  x: -0.27054730862164045
Time: 4.14690230273853  p: 0.4579503945690973  x: -0.23947496217753983
Time: 4.209734155810326  p: 0.4675197651816595  x: -0.2080407788544591
Time: 4.272566008882121  p: 0.47501235491118265  x: -0.17637889908638485
Time: 4.335397861953917  p: 0.480438396252133  x: -0.14462176641703717
Time: 4.398229715025712  p: 0.4838162765482586  x: -0.11289962517601365
Time: 4.461061568097508  p: 0.4851723045364131  x: -0.08134003684733943
Time: 4.523893421169303  p: 0.48454044942157537  x: -0.050067416720883315
Time: 4.586725274241099  p: 0.48196205407389914  x: -0.019202592304067966
Time: 4.649557127312894  p: 0.4774855240122033  x: 0.011137615145497343
Time: 4.71238898038469  p: 0.4711659939037267  x: 0.04084078472585363
Time: 4.775220833456485  p: 0.4630649733671136  x: 0.06979926451708568
Time: 4.838052686528281  p: 0.45324997391439836  x: 0.09791051373517895
Time: 4.900884539600076  p: 0.44179411890819004  x: 0.12507741754664572
Time: 4.963716392671872  p: 0.4287757384423108  x: 0.15120857380466302
Time: 5.026548245743667  p: 0.41427795107786003  x: 0.17621855109540363
Time: 5.089380098815463  p: 0.3983882343821168  x: 0.20002811761115483
Time: 5.152211951887258  p: 0.38119798622496326  x: 0.22256444049419183
Time: 5.215043804959054  p: 0.36280207878673487  x: 0.24376125542169866
Time: 5.277875658030849  p: 0.34329840722274363  x: 0.26355900632681933
Time: 5.340707511102645  p: 0.3227874349133668  x: 0.28190495527370046
Time: 5.40353936417444  p: 0.30137173720475813  x: 0.2987532626246983
Time: 5.466371217246236  p: 0.27915554551416977  x: 0.31406503775532746
Time: 5.529203070318031  p: 0.25624429363583223  x: 0.32780836068660946
Time: 5.592034923389827  p: 0.23274416803861983  x: 0.3399582751148397
Time: 5.654866776461622  p: 0.20876166389564013  x: 0.35049675342505815
Time: 5.717698629533418  p: 0.18440314852875878  x: 0.3594126343763303
Time: 5.780530482605213  p: 0.15977443388825513  x: 0.3667015342440015
Time: 5.843362335677009  p: 0.13498035961966298  x: 0.3723657322960708
Time: 5.906194188748804  p: 0.11012438819676569  x: 0.376414031567478
Time: 5.9690260418206  p: 0.08530821352207593  x: 0.37886159597715435
Time: 6.031857894892395  p: 0.060631384314341785  x: 0.3797297649079399
Time: 6.094689747964191  p: 0.036190943517093246  x: 0.379045846438727
Time: 6.157521601035986  p: 0.012081084873395601  x: 0.3768428904812843
Time: 6.220353454107782  p: -0.011607172279767  x: 0.3731594431310182
Time: 6.283185307179577  p: -0.034786289038266735  x: 0.3680392835913293
